序号,代码,名称,市场代码简称,最新价(元) 2026.05.08,涨跌幅(%) 2026.05.08,区间振幅(%) 2026.05.06 - 2026.05.08,区间换手率(%) 2026.05.06 - 2026.05.08,RSI1(6日) 2026.05.08,MACD值 2026.05.08,ST股票,阶段强势股 2026.05.08,概念,收盘价(日线不复权)(元) 2026.05.08,成交额(元) 2026.05.08,流通市值(元) 2026.05.08,东财行业总分类,涨跌额(元) 2026.05.08,最高价(元) 2026.05.08,最低价(元) 2026.05.08,换手率(%) 2026.05.08,量比 2026.05.08,成交量(股) 2026.05.08,市盈率(动)(倍) 2026.05.08,市净率(倍) 2026.05.08,总市值(元) 2026.05.08
102,002222,福晶科技,SZ,108.24,10.00,24.96,32.35,84.57,1.54,否,符合,激光雷达、福建自贸区、LED概念、中盘股、融资融券、昨日高振幅、深股通、近期新高、虚拟现实、超清视频、中盘成长、深成500、华为概念、被动元件概念、历史新高 、光纤概念、增强现实、央国企改革、百日新高 、海峡两岸、无人驾驶、量子科技,108.24,57.46亿,506.73亿,电子-光学光电子-光学元件,9.840,108.24,94.02,12.28,1.55,5750.45万,195.05,27.8422,509.00亿
103,600497,驰宏锌锗,SH,10.01,3.52,12.25,11.56,77.75,0.25,否,符合,军工、锌矿、中盘股、稀缺资源、融资融券、西部大开发、铅矿、上证380、中证500、沪股通、金属回收、金属锌、新材料、光纤概念、央国企改革、金属铅、小金属概念、MSCI中国、黄金概念,10.01,21.80亿,504.54亿,有色金属-工业金属-铅锌,0.340,10.08,9.51,4.37,1.61,2.20亿,19.06,2.9350,504.54亿
104,301269,华大九天,SZ,92.20,-0.36,4.86,5.33,64.29,2.01,否,符合,国产芯片、专精特新、融资融券、深证100R、深股通、国家大基金持股、EDA概念、存储芯片、深成500、大盘股、先进封装、华为概念、小米概念、HS300_、大盘成长、信创、京津冀一体化、央国企改革、AI应用、摩尔链、人工智能、创业板综、MSCI中国,92.20,7.73亿,502.89亿,计算机-软件开发-垂直应用软件,-0.330,93.90,91.09,1.53,0.68,835.92万,-172.21,9.6664,502.89亿
105,600885,宏发股份,SH,32.43,-2.38,8.03,6.79,72.37,1.24,否,符合,中盘股、新能源车、标准普尔、宁德时代概念、华为概念、富时罗素、物联网、MSCI中国、机器人概念、福建自贸区、飞行汽车(eVTOL)、融资融券、低空经济、充电桩、中盘成长、上证380、中证500、养老金、沪股通、商业航天、新能源、数据中心、光伏概念、新材料、一带一路、智能电网、风能、汽车电子、特斯拉概念,32.43,5.99亿,501.88亿,电力设备-电网设备-电网自动化设备,-0.790,33.02,32.12,1.19,0.48,1844.82万,25.91,3.9975,501.88亿
106,300115,长盈精密,SZ,36.36,4.18,11.49,15.10,77.42,0.74,否,符合,国产芯片、中盘股、两岸合作、AIPC、燃料电池概念、3D打印、柔性屏(折叠屏)、深圳特区、深成500、铜缆高速连接、新型工业化、宁德时代概念、智能穿戴、富时罗素、机器人概念、融资融券、华为汽车、液冷概念、无人机、中盘成长、苹果概念、卫星导航、无线耳机、粤港澳大湾区、5G概念、东数西算、电子烟、新能源车、小米概念、华为概念、通信技术、消费电子概念、电池技术、储能概念、混合现实、PEEK材料概念、MSCI中国、AI手机、AI眼镜、深股通、充电桩、虚拟现实、中证500、养老金、氢能源、人形机器人、锂电池概念、海峡两岸、创业板综、减速器、传感器、特斯拉概念,36.36,35.72亿,493.52亿,电子-消费电子-消费电子零部件及组装,1.460,37.20,34.59,7.26,2.13,9853.45万,98.81,5.8259,494.98亿
107,002273,水晶光电,SZ,36.17,3.17,10.76,15.91,79.55,0.59,否,符合,中盘股、昨日高振幅、贬值受益、3D摄像头、元宇宙概念、标准普尔、深成500、小米概念、华为概念、长安汽车概念、智能穿戴、消费电子概念、百日新高 、独角兽、荣耀概念、CPO概念、无人驾驶、富时罗素、MSCI中国、AI手机、机器人概念、激光雷达、安防概念、融资融券、华为汽车、AI眼镜、显示技术、深股通、近期新高、虚拟现实、超清视频、智能座舱、中盘成长、中证500、华为手机、苹果概念、蓝宝石、光伏概念、生物识别、人形机器人、历史新高 、比亚迪概念、增强现实、长江三角、汽车电子,36.17,26.49亿,492.66亿,电子-光学光电子-光学元件,1.110,36.17,33.88,5.52,1.14,7515.10万,50.98,4.9330,502.99亿
108,002203,海亮股份,SZ,22.11,5.84,26.90,13.62,91.67,0.82,否,符合,中盘股、昨日高振幅、标准普尔、深成500、华为概念、最近多板、电池技术、固态电池、百日新高 、小金属概念、富时罗素、金属铜、钒电池、融资融券、复合集流体、液冷概念、深股通、近期新高、中证500、绿色电力、PET铜箔、金属镍、历史新高 、锂电池概念、长江三角、参股银行、特斯拉概念,22.11,20.43亿,489.10亿,有色金属-工业金属-铜,1.220,22.48,20.71,4.28,1.29,9471.52万,29.06,2.9704,506.71亿
109,000021,深科技,SZ,31.02,-1.65,5.92,21.59,69.03,0.71,否,符合,国产芯片、中盘股、区块链、数字经济、贬值受益、新能源车、光通信模块、第三代半导体、存储芯片、标准普尔、深圳特区、深成500、消费电子概念、储能概念、央国企改革、CPO概念、超级电容、富时罗素、物联网、MSCI中国、电网概念、机器人概念、医疗器械概念、融资融券、深股通、虚拟电厂、无人机、中盘成长、中证500、半导体概念、先进封装、智能电网、先进封装材料、智能物流、DRAM存储、汽车电子,31.02,27.84亿,488.27亿,电子-消费电子-消费电子零部件及组装,-0.520,31.16,30.46,5.73,0.95,9022.11万,50.41,3.6551,488.34亿
110,002436,兴森科技,SZ,32.01,-1.26,12.78,35.04,78.99,0.92,否,符合,国产芯片、粤港澳大湾区、中盘股、5G概念、昨日高振幅、光通信模块、标准普尔、深圳特区、深成500、存储芯片、华为概念、军民融合、最近多板、通信技术、东方财富热股、互联网金融、高带宽内存、毫米波概念、CPO概念、富时罗素、机器人概念、卫星互联网、军工、6G概念、低空经济、融资融券、2025年报扭亏、深股通、昨日首板、中证500、商业航天、半导体概念、先进封装、PCB、玻璃基板、6G元器件、先进封装材料、通信PCB,32.01,45.59亿,485.89亿,电子-元件-印制电路板,-0.410,32.74,31.57,9.35,0.90,1.42亿,725.63,10.1937,544.07亿
111,688017,绿的谐波,SH,262.99,14.11,21.86,16.90,87.99,8.97,否,符合,专精特新、中盘股、医疗器械概念、融资融券、近期新高、中盘成长、上证380、中证500、沪股通、半导体概念、新型工业化、新能源、人形机器人、历史新高 、百日新高 、中国AI 50、2025年报预增、减速器、机器人执行器、机器人概念,262.99,41.89亿,482.14亿,机械设备-自动化设备-机器人,32.510,270.99,228.58,8.99,2.33,1648.01万,369.35,13.5098,482.14亿
112,003031,中瓷电子,SZ,140.07,5.55,14.89,13.13,87.76,1.85,否,符合,国产芯片、专精特新、中盘股、5G概念、IGBT概念、昨日高振幅、光通信模块、新能源车、第三代半导体、深成500、华为概念、通信技术、消费电子概念、央国企改革、百日新高 、CPO概念、中字头、卫星互联网、军工、6G概念、融资融券、华为海思、深股通、近期新高、充电桩、中盘成长、中证500、商业航天、半导体概念、光刻机(胶)、历史新高 、卫星导航、比亚迪概念、汽车电子,140.07,19.97亿,476.46亿,通信-通信设备-通信终端及配件,7.370,141.89,130.51,4.23,1.07,1438.84万,81.71,9.5597,631.79亿
113,600143,金发科技,SH,18.07,1.92,7.17,8.87,78.31,0.30,否,符合,粤港澳大湾区、中盘股、5G概念、合成生物、数字经济、新能源车、垃圾分类、参股保险、通信技术、电池技术、创投、固态电池、储能概念、碳纤维、富时罗素、PEEK材料概念、MSCI中国、机器人概念、医疗器械概念、融资融券、低空经济、行业龙头、充电桩、无人机、上证380、中证500、商业航天、沪股通、数据中心、光伏概念、氢能源、新材料、人形机器人、锂电池概念、碳中和、降解塑料、特斯拉概念,18.07,19.29亿,476.11亿,基础化工-塑料-改性塑料,0.340,18.39,17.63,4.06,2.12,1.07亿,39.01,2.4133,476.11亿
114,688027,国盾量子,SH,590.60,-0.89,6.12,9.91,62.35,10.59,否,符合,军工、国产芯片、专精特新、中盘股、融资融券、2025年报扭亏、中盘成长、量子测量、上证380、中证500、沪股通、商业航天、国产软件、央国企改革、量子通信、MSCI中国、量子科技、安徽三资改革,590.60,11.42亿,474.69亿,通信-通信设备-通信终端及配件,-5.290,597.97,583.19,2.40,0.87,193.28万,-798.77,18.8402,607.50亿
115,688099,晶晨股份,SH,112.70,1.62,7.41,17.26,93.73,5.94,否,符合,国产芯片、中盘股、东数西算、贬值受益、AI芯片、小米概念、科创板做市股、智能家居、CPO概念、人工智能、MSCI中国、机器人概念、上海自贸、融资融券、超清视频、智能座舱、中盘成长、上证380、中证500、沪股通、半导体概念、智能音箱、机器视觉、汽车芯片、WiFi6、汽车电子,112.70,22.78亿,474.65亿,电子-半导体-数字芯片设计,1.800,113.23,109.00,4.88,0.78,2053.62万,68.51,6.3005,474.65亿
116,300054,鼎龙股份,SZ,64.19,-6.70,10.63,20.96,64.64,2.09,否,符合,国产芯片、中盘股、2026—季报预增、融资融券、行业龙头、显示技术、深股通、转债标的、中盘成长、中证500、柔性屏(折叠屏)、光刻机(胶)、半导体概念、深成500、存储芯片、先进封装、中芯概念、锂电池概念、先进封装材料、创业板综、OLED、富时罗素、MSCI中国,64.19,34.75亿,473.82亿,电子-电子化学品Ⅱ-电子化学品Ⅲ,-4.610,67.00,63.80,7.24,1.14,5344.39万,60.63,11.1422,608.57亿
117,688766,普冉股份,SH,317.50,-0.47,13.52,15.72,81.56,11.72,否,符合,国产芯片、融资融券、沪股通、半导体概念、存储芯片、华为概念、小米概念、小盘股、智能穿戴、消费电子概念、智能家居、汽车芯片、MCU芯片、小盘成长、物联网、无线耳机、汽车电子,317.50,17.86亿,470.06亿,电子-半导体-数字芯片设计,-1.500,325.66,312.30,3.80,0.62,562.11万,46.80,17.4447,470.06亿
118,601208,东材科技,SH,46.10,2.08,21.92,28.89,88.96,2.02,否,符合,国产芯片、5G概念、西部大开发、昨日高振幅、新能源车、燃料电池概念、柔性屏(折叠屏)、最近多板、通信技术、东方财富热股、电池技术、消费电子概念、百日新高 、OLED、2025年报预增、树脂、电网概念、军工、BC电池、6G概念、融资融券、近期新高、昨日首板、沪股通、商业航天、光刻机(胶)、半导体概念、特高压、苹果概念、PET铜箔、PCB、光伏概念、小盘股、氢能源、历史新高 、股权激励、小盘成长,46.10,54.21亿,465.69亿,基础化工-塑料-膜材料,0.940,47.73,45.01,11.55,1.25,1.17亿,62.31,7.6496,465.69亿
119,688037,芯源微,SH,227.97,-4.25,11.31,14.68,66.33,10.93,否,符合,国产芯片、LED概念、专精特新、中盘股、融资融券、华为海思、中盘成长、2025年报预减、上证380、中证500、盛合晶微、沪股通、光刻机(胶)、半导体概念、存储芯片、先进封装、华为概念、中芯概念、央国企改革、先进封装设备、MSCI中国,227.97,16.04亿,459.65亿,电子-半导体-半导体设备,-10.120,236.81,227.68,3.45,0.58,694.85万,3274.90,16.4107,459.65亿
120,000783,长江证券,SZ,8.22,-1.44,9.14,15.71,65.18,0.30,否,符合,中盘股、融资融券、PPP模式、参股期货、昨日高振幅、深股通、中盘成长、中证500、参股新三板、券商概念、标准普尔、深成500、最近多板、互联网金融、富时罗素、2025年报预增、MSCI中国、破增发价股,8.22,15.90亿,454.57亿,非银金融-证券Ⅱ-证券Ⅲ,-0.120,8.35,8.13,3.50,0.87,1.93亿,7.65,1.2341,454.57亿
121,300672,国科微,SZ,214.56,6.75,20.46,23.62,80.37,9.11,否,符合,北斗导航、国产芯片、专精特新、鸿蒙概念、车联网(车路云)、东数西算、国家大基金持股、第三代半导体、存储芯片、深成500、AI芯片、百日新高 、人工智能、无人驾驶、物联网、机器人概念、融资融券、深股通、近期新高、虚拟现实、超清视频、智能座舱、ASIC芯片、半导体概念、小盘股、机器视觉、卫星导航、星闪概念、创业板综、汽车芯片、WiFi6,214.56,35.64亿,451.30亿,电子-半导体-数字芯片设计,13.560,220.00,195.01,8.02,0.94,1686.50万,211.96,12.0791,465.82亿
122,002185,华天科技,SZ,13.74,-1.43,4.65,20.96,71.62,0.37,否,符合,国产芯片、中盘股、5G概念、西部大开发、国家大基金持股、第三代半导体、氮化镓、存储芯片、标准普尔、深成500、华为概念、通信技术、高带宽内存、CPO概念、毫米波概念、人工智能、无人驾驶、富时罗素、物联网、MSCI中国、机器人概念、华为海思、融资融券、深股通、智能座舱、中证500、半导体概念、先进封装、比亚迪概念、先进封装材料、汽车芯片、传感器、汽车电子,13.74,25.17亿,448.77亿,电子-半导体-集成电路封测,-0.200,13.85,13.45,5.65,1.00,1.84亿,129.31,2.5053,448.88亿
123,688188,柏楚电子,SH,153.14,-0.91,11.83,4.57,76.31,2.89,否,符合,专精特新、中盘股、融资融券、中盘成长、上证380、中证500、沪股通、新型工业化、国产软件、人工智能、高端装备、MSCI中国、机器人概念,153.14,6.15亿,442.16亿,计算机-计算机设备-其他计算机设备,-1.410,157.37,150.57,1.39,1.29,400.16万,34.93,6.9188,442.16亿
124,688387,信科移动-U,SH,21.77,5.17,14.50,15.80,90.83,0.87,否,符合,国产芯片、中盘股、专精特新、5G概念、东数西算、车联网(车路云)、工业互联、通信技术、央国企改革、边缘计算、AI应用、DeepSeek概念、人工智能、物联网、MSCI中国、卫星互联网、6G概念、融资融券、低空经济、近期新高、卫星通信、中盘成长、中证500、商业航天、沪股通、网络安全、机器视觉、卫星导航、一带一路、湖北三资改革,21.77,21.75亿,439.05亿,通信-通信设备-通信网络设备及器件,1.070,21.94,20.41,5.05,1.00,1.02亿,-145.19,12.6790,744.26亿
125,600208,衢州发展,SH,5.13,0.59,19.78,17.31,81.63,0.26,否,符合,国产芯片、中盘股、区块链、共同富裕示范区、煤炭概念、乡村振兴、参股期货、昨日高振幅、元宇宙概念、参股保险、标准普尔、黄金开采、创投、互联网金融、央国企改革、百日新高 、独角兽、富时罗素、黄金概念、融资融券、近期新高、昨日触板、2025年报预减、上证380、中证500、沪股通、知识产权、参股券商、第四代半导体、Web3.0、数据确权、NFT概念、昨日炸板、长江三角、参股银行,5.13,26.53亿,436.46亿,房地产-房地产开发-住宅开发,0.030,5.46,4.95,6.06,1.54,5.16亿,34.70,1.0445,436.51亿
126,603629,利通电子,SH,167.59,5.88,20.41,42.98,91.65,11.54,否,符合,军工、国产芯片、东数西算、昨日高振幅、液冷概念、算力概念、近期新高、沪股通、华为概念、小米概念、最近多板、东方财富热股、昨日高换手、英伟达概念、消费电子概念、腾讯概念、历史新高 、算力租赁、百日新高 、毫米波概念、人工智能、OLED、2025年报预增、云计算,167.59,61.50亿,432.43亿,电子-消费电子-消费电子零部件及组装,9.310,173.58,153.01,14.52,1.35,3747.31万,40.51,19.5844,439.62亿
127,688519,南亚新材,SH,183.01,-3.68,13.97,8.71,66.43,4.54,否,符合,专精特新、融资融券、5G概念、虚拟现实、新能源车、沪股通、存储芯片、PCB、华为概念、小盘股、智能穿戴、消费电子概念、增强现实、CPO概念、2025年报预增、小盘成长、MiniLED,183.01,9.95亿,429.65亿,电子-元件-印制电路板,-6.990,188.68,179.32,2.32,0.74,543.59万,71.55,15.2824,429.65亿
128,300255,常山药业,SZ,46.09,0.48,12.04,9.01,77.61,1.12,否,符合,中盘股、雄安新区、融资融券、深股通、医美概念、零售概念、特色药、中盘成长、新消费、深成500、肝素概念、化妆品概念、创业板综、减肥药、创新药、MSCI中国,46.09,9.34亿,422.93亿,医药生物-化学制药-化学制剂,0.220,47.00,45.81,2.20,0.84,2016.56万,1803.75,35.0036,423.60亿
129,688141,杰华特,SH,93.77,-2.78,9.68,14.96,75.54,4.36,否,符合,国产芯片、专精特新、融资融券、新能源车、智能座舱、沪股通、半导体概念、华为概念、小米概念、小盘股、消费电子概念、储能概念、锂电池概念、人工智能、无人驾驶、汽车芯片、小盘成长、汽车电子,93.77,13.25亿,422.27亿,电子-半导体-模拟芯片设计,-2.680,96.00,93.00,3.13,0.59,1408.11万,-38.22,33.8298,422.27亿
130,600869,远东股份,SH,18.93,-3.27,13.36,13.97,69.59,0.50,否,符合,钠离子电池、国产芯片、智能配电、海工装备、西部大开发、雅下水电概念、铜缆高速连接、宁德时代概念、智能输电、空芯光纤、独角兽、阿里概念、机器人概念、军工、融资融券、低空经济、复合集流体、液冷概念、无人机、商业航天、特高压、数据中心、光伏概念、电商概念、超导概念、光纤概念、智能电网、海洋经济、东数西算、新能源车、水利建设、节能环保、华为概念、军民融合、电池技术、固态电池、储能概念、核能核电、DeepSeek概念、人工智能、电源电缆、海底电缆、电网概念、2025年报扭亏、微通道水冷板、充电桩、沪股通、智慧城市、PET铜箔、小盘股、人形机器人、可控核聚变、锂电池概念、高端装备、风能、参股银行、柔性直流输电、特斯拉概念,18.93,16.08亿,420.12亿,电力设备-电网设备-线缆部件及其他,-0.640,19.39,18.91,3.79,0.82,8421.25万,108.70,9.7664,420.12亿
131,688599,天合光能,SH,17.80,-0.45,4.90,7.07,73.30,0.56,否,符合,中盘股、东数西算、转债标的、钙钛矿电池、华为概念、TOPCON电池、电池技术、储能概念、科创板做市股、智能家居、DeepSeek概念、物联网、MSCI中国、机器人概念、中盘价值、BC电池、融资融券、光伏支架、虚拟电厂、太空光伏、上证380、中证500、商业航天、沪股通、绿色电力、新能源、光伏概念、氢能源、一带一路、锂电池概念、HJT电池、TOPCon电池、光伏建筑一体化,17.80,7.91亿,416.98亿,电力设备-光伏设备-光伏电池组件,-0.080,18.06,17.54,1.90,0.73,4445.47万,-36.83,2.0433,416.98亿
132,603979,金诚信,SH,66.67,-1.24,12.71,5.75,68.56,1.25,否,符合,金属铜、中盘股、融资融券、昨日高振幅、转债标的、磷矿、贬值受益、中盘成长、上证380、中证500、养老金、沪股通、一带一路、磷化工、资源开采概念、MSCI中国、黄金概念,66.67,7.91亿,415.88亿,有色金属-工业金属-铜,-0.840,67.60,64.23,1.93,1.23,1201.54万,17.29,3.6328,415.88亿
133,000878,云南铜业,SZ,20.50,1.84,7.49,9.58,71.60,0.40,否,符合,金属铜、中盘价值、中盘股、稀缺资源、融资融券、西部大开发、参股期货、深股通、中证500、标准普尔、深成500、黄金开采、铜矿、央国企改革、小金属概念、富时罗素、MSCI中国、黄金概念,20.50,12.70亿,410.74亿,有色金属-工业金属-铜,0.370,20.66,19.80,3.14,1.23,6283.91万,18.40,2.6978,497.16亿
134,600699,均胜电子,SH,29.63,0.58,5.96,14.02,70.54,0.39,否,符合,国产芯片、中盘股、车联网(车路云)、鸿蒙概念、5G概念、高压快充、数字经济、贬值受益、光通信模块、新能源车、标准普尔、AI智能体、华为概念、小米概念、长安汽车概念、创投、固态电池、AI应用、DeepSeek概念、CPO概念、无人驾驶、富时罗素、无线充电、MSCI中国、阿里概念、机器人概念、激光雷达、融资融券、控制系统、华为汽车、充电桩、智能座舱、上证380、中证500、沪股通、银河通用、英伟达概念、人形机器人、小米汽车、比亚迪概念、汽车芯片、汽车热管理、传感器、碳中和、汽车电子、特斯拉概念、EDR概念,29.63,20.30亿,401.50亿,汽车-汽车零部件-汽车电子电气系统,0.170,30.30,29.15,5.04,1.31,6824.47万,28.57,2.6218,459.49亿
135,002378,章源钨业,SZ,33.58,-2.78,9.42,25.12,56.97,0.72,否,符合,军工、金属铜、稀缺资源、融资融券、工业母机、深股通、养老金、小盘股、光伏概念、金属钨、小金属概念、2025年报预增、小盘成长,33.58,25.39亿,401.32亿,有色金属-小金属-钨,-0.960,34.17,33.01,6.33,0.69,7563.44万,26.45,14.8318,403.44亿
136,002126,银轮股份,SZ,49.76,0.53,6.54,8.55,69.79,0.34,否,符合,数据中心液冷、中盘股、东数西算、转债标的、新能源车、燃料电池概念、冷却液、工业互联、标准普尔、深成500、宁德时代概念、华为概念、小米概念、长安汽车概念、创投、尾气治理、电池技术、储能概念、CDU、独角兽、无人驾驶、量子科技、机器人概念、低空经济、融资融券、华为汽车、液冷概念、充电桩、深股通、中盘成长、中证500、养老金、麒麟电池、数据中心、氢能源、人形机器人、小米汽车、空气能热泵、比亚迪概念、汽车热管理、长江三角、特斯拉概念,49.76,10.36亿,395.20亿,汽车-汽车零部件-底盘与发动机系统,0.260,50.49,47.93,2.62,0.94,2079.30万,49.21,5.6328,421.37亿
137,601799,星宇股份,SH,137.96,4.75,13.85,5.80,80.88,2.28,否,符合,中盘股、融资融券、车联网(车路云)、华为汽车、昨日高振幅、智能座舱、中盘成长、上证380、中证500、沪股通、标准普尔、人形机器人、MicroLED、毫米波概念、无人驾驶、富时罗素、物联网、MSCI中国、汽车电子、机器人概念,137.96,11.40亿,394.12亿,汽车-汽车零部件-车身附件及饰件,6.250,140.30,131.03,2.91,2.25,830.62万,27.74,3.5631,394.12亿
138,688167,炬光科技,SH,434.64,2.91,24.86,26.40,76.39,5.15,否,符合,国产芯片、专精特新、西部大开发、昨日高振幅、3D打印、存储芯片、最近多板、通信技术、消费电子概念、巨量转移、高带宽内存、MicroLED、百日新高 、CPO概念、无人驾驶、混合现实、OLED、激光雷达、融资融券、近期新高、昨日首板、虚拟现实、医美概念、智能座舱、沪股通、光刻机(胶)、半导体概念、光源、先进封装、小盘股、机器视觉、历史新高 、可控核聚变、光纤概念、小盘成长、先进封装设备,434.64,38.35亿,390.57亿,电子-半导体-分立器件,12.290,436.98,402.35,10.05,1.62,902.84万,-739.56,17.4654,390.57亿
139,688220,翱捷科技-U,SH,102.94,0.87,9.54,14.09,83.27,3.65,否,符合,国产芯片、专精特新、中盘股、5G概念、车联网(车路云)、贬值受益、小米概念、消费电子概念、智能穿戴、人工智能、物联网、MSCI中国、阿里概念、6G概念、融资融券、AI眼镜、中盘成长、破发股、上证380、中证500、商业航天、沪股通、半导体概念、卫星导航、星闪概念、汽车芯片、WiFi6,102.94,17.41亿,379.99亿,电子-半导体-模拟芯片设计,0.890,106.72,98.50,4.58,1.06,1691.59万,-384.21,7.9148,430.60亿
140,001267,汇绿生态,SZ,62.38,10.00,22.05,29.77,87.42,2.36,否,符合,乡村振兴、昨日高振幅、深股通、近期新高、光通信模块、养老金、硅能源、铜缆高速连接、工程建设、通信技术、小盘股、污水处理、光伏概念、AEC有源电缆、石英、历史新高 、百日新高 、土壤修复、CPO概念、小盘成长、新型城镇化,62.38,34.66亿,378.42亿,通信-通信设备-通信网络设备及器件,5.670,62.38,54.61,9.56,0.88,5796.60万,823.58,30.7620,489.79亿
141,688409,富创精密,SH,121.56,-3.97,12.84,6.91,60.50,4.14,否,符合,小盘股、国产芯片、专精特新、上海微电子、融资融券、DeepSeek概念、沪股通、光刻机(胶)、半导体概念,121.56,7.35亿,372.23亿,电子-半导体-半导体设备,-5.020,124.15,119.01,1.98,0.82,604.92万,160.60,8.2375,372.23亿
142,300339,润和软件,SZ,47.80,1.90,7.94,19.63,76.46,1.51,否,符合,国产芯片、中盘股、区块链、多模态AI、鸿蒙概念、深成500、AI智能体、MLOps概念、华为昇腾、电力物联网、AI应用、边缘计算、无人驾驶、蚂蚁概念、国产操作系统、富时罗素、物联网、阿里概念、机器人概念、华为鲲鹏、智慧政务、华为海思、融资融券、华为汽车、中盘成长、ChatGPT概念、网络安全、华为系算力、星闪概念、华为数字能源、智能电网、财税数字化、支付系统、智能医疗、大数据、跨境支付、华为欧拉、东数西算、元宇宙概念、ERP概念、华为概念、小米概念、Kimi概念、创投、互联网金融、信创、智能家居、DeepSeek概念、在线教育、人工智能、MSCI中国、电网概念、数字货币、深股通、算力概念、虚拟现实、智能座舱、中证500、智慧城市、国产软件、人形机器人、虚拟数字人、创业板综,47.80,28.58亿,371.73亿,计算机-IT服务Ⅱ-IT服务Ⅲ,0.890,49.40,46.25,7.62,1.39,5926.66万,123.19,10.4426,380.68亿
143,600331,宏达股份,SH,18.28,5.66,9.87,12.81,60.86,0.23,否,符合,金属铜、中盘股、稀缺资源、融资融券、西部大开发、参股期货、化肥、信托概念、中盘成长、沪股通、金属锌、成渝特区、央国企改革、磷化工、小金属概念,18.28,15.05亿,371.45亿,基础化工-农化制品-磷肥及磷化工,0.980,18.42,17.05,4.17,1.02,8465.94万,-358.18,15.5030,482.88亿
144,688147,微导纳米,SH,79.80,-1.70,8.14,6.77,73.26,3.47,否,符合,国产芯片、BC电池、专精特新、中盘股、融资融券、钙钛矿设备、转债标的、中盘成长、钙钛矿电池、第三代半导体、沪股通、半导体概念、存储芯片、先进封装、TOPCON电池、光伏概念、中芯概念、HJT电池、高端装备、OLED、汽车芯片、先进封装设备、TOPCon电池,79.80,6.86亿,368.00亿,电子-半导体-半导体设备,-1.380,80.49,77.86,1.88,0.68,866.15万,437.73,12.5389,368.00亿
145,688172,燕东微,SH,47.23,-3.34,14.54,8.17,68.06,1.64,否,符合,国产芯片、中盘股、融资融券、昨日高振幅、国家大基金持股、光通信模块、中盘成长、上证380、中证500、第三代半导体、沪股通、半导体概念、通信技术、央国企改革、MCU芯片、传感器,47.23,7.15亿,367.53亿,电子-半导体-分立器件,-1.630,49.40,46.83,1.93,0.61,1500.50万,-65.07,3.7113,674.26亿
146,600536,中国软件,SH,43.45,10.00,13.90,8.89,90.81,1.31,否,符合,中盘股、乡村振兴、数字经济、AIPC、水利建设、标准普尔、华为概念、信创、京津冀一体化、央国企改革、DeepSeek概念、中国AI 50、国产操作系统、人工智能、中字头、富时罗素、MSCI中国、阿里概念、机器人概念、华为鲲鹏、云计算、数据安全、智慧政务、融资融券、低空经济、中盘成长、上证380、中证500、养老金、沪股通、商业航天、智慧城市、网络安全、数据中心、国产软件、财税数字化、电子身份证、华为欧拉,43.45,14.62亿,366.57亿,计算机-IT服务Ⅱ-IT服务Ⅲ,3.950,43.45,39.30,4.11,2.20,3467.10万,-137.60,11.5415,405.73亿
147,603179,新泉股份,SH,71.15,3.15,18.79,23.09,77.49,2.33,否,符合,中盘股、融资融券、昨日高振幅、昨日首板、新能源车、中盘成长、上证380、中证500、沪股通、最近多板、比亚迪概念、MSCI中国、机器人概念、特斯拉概念,71.15,36.65亿,362.97亿,汽车-汽车零部件-汽车电子电气系统,2.170,72.95,67.78,10.09,1.82,5149.44万,44.59,4.8017,362.97亿
148,000629,钒钛股份,SZ,3.90,0.52,6.59,7.02,75.47,0.11,否,符合,钒电池、中盘股、稀缺资源、融资融券、西部大开发、深股通、钛白粉概念、中证500、标准普尔、深成500、电池技术、氢能源、成渝特区、储能概念、央国企改革、小金属概念、富时罗素、MSCI中国、参股银行,3.90,6.77亿,362.33亿,钢铁-冶钢原料-冶钢辅料,0.020,3.94,3.83,1.87,0.95,1.74亿,126.05,2.9305,362.35亿
149,688102,斯瑞新材,SH,46.55,5.87,11.38,13.64,85.81,1.66,否,符合,国产芯片、火箭发射、航空发动机、融资融券、医疗器械概念、西部大开发、充电桩、光通信模块、新能源车、3D打印、商业航天、沪股通、特高压、通信技术、小盘股、新材料、核能核电、可控核聚变、CPO概念、独角兽、DeepSeek概念、中科宇航、小盘成长、磁体,46.55,19.34亿,361.97亿,有色金属-金属新材料-其他金属新材料,2.580,46.90,43.24,5.46,1.57,4246.82万,210.07,18.5317,361.97亿
150,603268,松发股份,SH,154.53,3.33,8.68,9.89,77.46,3.26,否,符合,跨境电商、大盘成长、船舶制造、海工装备、历史新高 、2025年报扭亏、百日新高 、近期新高、贬值受益、在线教育、高端装备、大盘股,154.53,12.75亿,360.44亿,国防军工-航海装备Ⅱ-航海装备Ⅲ,4.980,158.20,148.85,3.55,0.91,828.31万,34.30,14.2256,1500.14亿
