序号,代码,名称,市场代码简称,最新价(元) 2026.04.30,涨跌幅(%) 2026.04.30,概念,总市值(元) 2026.04.30,ST股票,东财行业总分类,涨跌额(元) 2026.04.30,最高价(元) 2026.04.30,最低价(元) 2026.04.30,换手率(%) 2026.04.30,量比 2026.04.30,成交量(股) 2026.04.30,成交额(元) 2026.04.30,市盈率(动)(倍) 2026.04.30,市净率(倍) 2026.04.30,流通市值(元) 2026.04.30
66,600222,太龙药业,SH,6.80,-3.27,CRO、创新医疗服务、融资融券、乡村振兴、儿童用药、养老概念、三胎概念、流感、农业种植、中药概念、央国企改革、病原体防治、创新药、婴童概念、参股银行,39.02亿,否,医药生物-中药Ⅱ-中药Ⅲ,-0.230,7.02,6.72,4.43,2.11,2540.97万,1.74亿,375.07,2.4295,39.02亿
67,000716,黑芝麻,SZ,5.14,-0.77,融资融券、乡村振兴、西部大开发、PPP模式、昨日高振幅、深股通、昨日首板、新能源车、养老概念、最近多板、电商概念、跨境电商、储能概念、农业种植、一带一路、锂电池概念、央国企改革、网红经济、粮食概念,38.70亿,否,食品饮料-休闲食品-零食,-0.040,5.28,5.08,6.46,2.10,4775.21万,2.46亿,29.41,1.5301,37.97亿
68,300804,广康生化,SZ,51.80,-0.65,粤港澳大湾区、农业种植、融资融券、农药兽药、创业板综,38.33亿,否,基础化工-农化制品-农药,-0.340,55.40,51.50,14.93,1.18,410.48万,2.20亿,-1665.28,2.8043,14.24亿
69,600731,湖南海利,SH,6.84,-0.87,电池技术、农业种植、合成生物、乡村振兴、农药兽药、锂电池概念、央国企改革、食品安全、贬值受益、商业航天,38.22亿,否,基础化工-农化制品-农药,-0.060,6.92,6.81,1.38,0.78,747.58万,5123.47万,21.41,1.1874,37.05亿
70,300162,雷曼光电,SZ,9.06,3.07,粤港澳大湾区、LED概念、专精特新、贬值受益、元宇宙概念、足球概念、柔性屏(折叠屏)、深圳特区、消费电子概念、农业种植、MicroLED、智能家居、在线教育、DeepSeek概念、人工智能、数据要素、安防概念、显示技术、超清视频、体育产业、商业航天、先进封装、玻璃基板、裸眼3D、海峡两岸、创业板综、新零售、MiniLED、植物照明,38.01亿,否,电子-光学光电子-LED,0.270,9.37,8.60,10.59,1.56,3625.03万,3.30亿,-68.49,4.6008,31.00亿
71,000759,中百集团,SZ,5.49,0.00,内贸流通、乡村振兴、深股通、社区团购、谷子店、预制菜概念、跨境电商、腾讯概念、农业种植、一带一路、央国企改革、免税店、新零售、统一大市场、抖音概念(字节概念)、谷子经济、湖北三资改革、智能物流、降解塑料、冷链物流、湖北自贸,36.37亿,否,商贸零售-一般零售-超市,0.000,5.60,5.45,2.37,0.74,1557.19万,8603.19万,-9.33,5.0248,36.00亿
72,603139,康惠股份,SH,36.30,-1.31,合成生物、医疗器械概念、西部大开发、乡村振兴、昨日高振幅、昨日首板、儿童用药、肝炎概念、最近多板、三胎概念、农业种植、流感、医药电商、中药概念、病原体防治、牙科医疗、婴童概念、幽门螺杆菌概念、毛发医疗、NMN概念,36.26亿,否,医药生物-中药Ⅱ-中药Ⅲ,-0.480,37.20,35.64,6.69,1.27,667.79万,2.44亿,43.41,6.6428,36.26亿
73,603970,中农立华,SH,13.21,-1.12,内贸流通、农业种植、供销社概念、乡村振兴、京津冀一体化、农机、一带一路、农药兽药、无人机、草甘膦,35.51亿,否,基础化工-农化制品-农药,-0.150,13.45,13.21,0.91,0.70,244.00万,3248.83万,16.16,2.1827,35.51亿
74,002412,汉森制药,SZ,6.99,-0.29,仿制药一致性评价、融资融券、农业种植、流感、医药电商、中药概念、病原体防治、创新药、参股银行、幽门螺杆菌概念、肝炎概念、最近多板,35.17亿,否,医药生物-中药Ⅱ-中药Ⅲ,-0.020,7.11,6.92,6.11,1.53,3042.82万,2.14亿,22.90,1.4517,34.80亿
75,603896,寿仙谷,SH,17.48,0.06,农业种植、医药电商、乡村振兴、数字经济、中药概念、工业大麻、转债标的、工业互联、沪股通、旅游概念、养老概念、维生素,34.65亿,否,医药生物-中药Ⅱ-中药Ⅲ,0.010,17.54,17.34,0.87,0.80,172.33万,3006.48万,29.94,1.5614,34.65亿
76,600354,敦煌种业,SH,6.26,1.79,融资融券、乡村振兴、西部大开发、玉米、参股券商、生态农业、股权转让、农业种植、供销社概念、一带一路、央国企改革、转基因、粮食概念,33.04亿,否,农林牧渔-种植业-种子,0.110,6.27,6.15,4.41,1.37,2328.06万,1.45亿,17.48,4.4144,33.04亿
77,600540,新赛股份,SH,5.58,10.06,农业种植、土地流转、西部大开发、乡村振兴、新疆振兴、央国企改革、建筑节能、统一大市场、粮食概念、风能、冷链物流、新能源,32.44亿,否,农林牧渔-种植业-其他种植业,0.510,5.58,5.21,8.10,2.54,4710.92万,2.60亿,19.39,8.4304,32.44亿
78,002852,道道全,SZ,9.09,-1.41,电商概念、农业种植、乡村振兴、昨日高振幅、破发股、破增发价股,31.27亿,否,农林牧渔-农产品加工-粮油加工,-0.130,9.28,9.06,2.52,0.72,719.10万,6566.04万,55.32,1.4105,25.98亿
79,600965,福成股份,SH,-,-,融资融券、玉米、乡村振兴、标准普尔、乳业、预制菜概念、生态农业、京津冀、农业种植、土地流转、京津冀一体化、土壤修复、网红经济、粮食概念、冷链物流,31.19亿,否,农林牧渔-养殖业-其他养殖,-,-,-,-,-,-,-,36.26,1.4338,31.19亿
80,601996,丰林集团,SH,2.72,0.00,创投、农业种植、土地流转、融资融券、西部大开发、乡村振兴、破发股、低价股、碳中和、破增发价股,30.49亿,否,轻工制造-家居用品-其他家居用品,0.000,2.75,2.68,3.36,0.55,3765.93万,1.02亿,-27.59,1.2430,30.49亿
