序号,代码,名称,市场代码简称,最新价(元) 2026.04.30,涨跌幅(%) 2026.04.30,证券类型,低位 2026.04.30,个股题材,申万行业分类,主力净额合计 2026.04.28 - 2026.04.30,东财行业总分类,概念,涨跌额(元) 2026.04.30,最高价(元) 2026.04.30,最低价(元) 2026.04.30,换手率(%) 2026.04.30,量比 2026.04.30,成交量(股) 2026.04.30,成交额(元) 2026.04.30,市盈率(动)(倍) 2026.04.30,市净率(倍) 2026.04.30,总市值(元) 2026.04.30,流通市值(元) 2026.04.30
307,603232,格尔软件,SH,18.65,2.87,A股,符合,区块链、智能无人机、车联网(车路云)、军工装备、ai应用、量子计算、AI智能体、华为概念、信创、国产操作系统、稳定币概念、军工、数据安全、智慧政务、数字货币、无人机、智慧城市、网络安全、数据要素概念、华为鸿蒙、国产软件、Web3.0、软件服务、电子身份证、汽车芯片、大数据、RDA概念股,计算机-软件开发-垂直应用软件,399.03万,计算机-软件开发-垂直应用软件,国产芯片、专精特新、区块链、车联网(车路云)、鸿蒙概念、新疆振兴、AI智能体、华为概念、信创、百度概念、DeepSeek概念、人工智能、MCU芯片、阿里概念、量子科技、华为鲲鹏、云计算、军工、数据安全、智慧政务、军工信息化、移动支付、低空经济、数字货币、无人机、智慧城市、网络安全、云办公、国产软件、Web3.0、一带一路、电子身份证、汽车芯片,0.520,19.09,18.08,3.84,1.32,887.80万,1.66亿,-38.22,3.3565,43.66亿,43.14亿
308,603737,三棵树,SH,42.67,-0.88,A股,符合,关税、大消费、海南自贸、人工智能、亚冬会、家具、黑龙江自贸区,建筑材料-装修建材-涂料,398.33万,建筑材料-装修建材-涂料,中盘股、融资融券、DeepSeek概念、海峡两岸、中盘成长、上证380、中证500、富时罗素、2025年报预增、沪股通、商业航天、标准普尔,-0.380,43.73,42.60,0.62,0.54,456.85万,1.97亿,73.78,10.4935,314.83亿,314.83亿
309,300350,华鹏飞,SZ,5.35,0.19,A股,符合,军工、军工信息化、广东自贸、敦煌网、智能无人机、军工装备、无人机、区域经济、物流行业、深圳特区、创投、卫星导航、一带一路、统一大市场、物联网、智能物流、快递概念,交通运输-物流-中间产品及消费品供应链服务,391.05万,交通运输-物流-端到端供应链服务,军工、粤港澳大湾区、数字经济、无人机、深圳特区、智慧城市、航运概念、创投、跨境电商、互联网金融、卫星导航、一带一路、中俄贸易概念、广东自贸区、创业板综、统一大市场、时空大数据、物联网、碳中和、智能物流、快递概念、数据要素,0.010,5.39,5.29,2.18,0.71,1027.70万,5491.38万,-109.73,3.4281,30.07亿,25.23亿
310,301633,港迪技术,SZ,62.15,1.35,A股,符合,灵巧手、盾构机概念、物联网、雅下水电,机械设备-自动化设备-工控设备,386.02万,机械设备-自动化设备-工控设备,专精特新、融资融券、信创、深股通、工程机械概念、创业板综、高端装备、注册制次新股、物联网、新型工业化、机器人概念,0.830,62.29,60.90,1.39,0.98,35.45万,2190.72万,-72.35,3.7194,34.61亿,15.85亿
311,920932,科达自控,BJ,14.58,2.17,A股,符合,深海经济、5G概念、海南自贸、华为概念、华为鸿蒙、石英、换电概念、DeepSeek概念、人工智能、电力行业、物联网、电器自控设备、机器人概念,计算机-软件开发-垂直应用软件,383.75万,计算机-软件开发-垂直应用软件,钠离子电池、专精特新、5G概念、鸿蒙概念、海南自贸、数字经济、ERP概念、工业互联、新型工业化、华为概念、通信技术、信创、百度概念、AI应用、DeepSeek概念、人工智能、无人驾驶、物联网、机器人概念、华为鲲鹏、智慧政务、融资融券、充电桩、华为盘古、知识产权、智慧城市、机器视觉、换电概念、人形机器人、碳中和,0.310,14.77,14.24,1.90,1.04,164.86万,2401.92万,-70.37,2.5479,15.36亿,12.66亿
312,603231,索宝蛋白,SH,17.09,-4.42,A股,符合,大豆、人造肉、宠物经济,农林牧渔-农产品加工-粮油加工,381.03万,农林牧渔-农产品加工-粮油加工,味蕾经济、融资融券、大豆、破发股、人造肉、新消费、2025年报预增、宠物经济、粮食概念,-0.790,17.69,17.06,4.71,2.14,500.35万,8599.87万,25.74,1.6158,32.72亿,18.16亿
313,300278,华昌达,SZ,4.83,2.33,A股,符合,军工、工业机器人、太阳能、军工装备、智能制造、智能物流、存储芯片、机器人概念、特斯拉概念,机械设备-自动化设备-工控设备,380.64万,机械设备-自动化设备-工控设备,军工、数字孪生、低空经济、融资融券、深股通、贬值受益、新能源车、工业互联、新型工业化、长安汽车概念、光伏概念、机器视觉、人形机器人、比亚迪概念、创业板综、高端装备、智能物流、机器人概念、特斯拉概念,0.110,4.86,4.70,1.55,0.85,2181.03万,1.05亿,1073.29,4.0887,68.29亿,68.08亿
314,000530,冰山冷热,SZ,5.91,0.34,A股,符合,深海经济、海工装备、虚拟电厂、体育产业、水电、碳交易、破冰船、冰雪经济、空气能热泵、可燃冰、边缘计算、亚冬会、汽车热管理、物联网、雅下水电、冷链物流、大数据、储能,机械设备-通用设备-制冷空调设备,378.20万,机械设备-通用设备-制冷空调设备,数据中心液冷、海工装备、数字经济、军民融合、储能概念、核能核电、边缘计算、中俄贸易概念、独角兽、统一大市场、物联网、无人零售、军工、AB股、融资融券、液冷概念、体育产业、参股券商、碳交易、IPO受益、数据中心、氢能源、冰雪经济、空气能热泵、比亚迪概念、海洋经济、汽车热管理、碳中和、冷链物流、大数据,0.020,5.94,5.85,1.79,0.51,1072.11万,6330.27万,58.80,1.5695,49.83亿,35.47亿
315,600681,百川能源,SH,4.06,-0.49,A股,符合,环保设备、天然气、燃气,公用事业-燃气Ⅱ-燃气Ⅲ,375.27万,公用事业-燃气Ⅱ-燃气Ⅲ,融资融券、海南自贸、高股息精选、沪股通、标准普尔、氢能源、油气资源、人形机器人、京津冀一体化、富时罗素、天然气、机器人概念、破增发价股,-0.020,4.10,4.03,1.48,0.96,1980.35万,8024.36万,12.13,1.4792,54.44亿,54.40亿
316,920056,能之光,BJ,22.13,0.18,A股,符合,国产替代,基础化工-塑料-其他塑料制品,371.58万,基础化工-塑料-其他塑料制品,光伏概念、POE胶膜、专精特新、固态电池、融资融券、锂电池概念、钙钛矿电池、3D打印、隔膜、次新股,0.040,22.46,21.94,2.42,0.94,74.54万,1657.60万,30.51,3.2816,18.08亿,6.83亿
317,920580,科创新材,BJ,13.55,0.97,A股,符合,半导体材料、锅炉、碳化硅,建筑材料-装修建材-耐火材料,371.15万,建筑材料-装修建材-耐火材料,电池技术、钠离子电池、专精特新、新材料、融资融券、海南自贸、锂电池概念、第三代半导体、2025年报预增、硅能源,0.130,13.71,13.29,2.85,0.76,156.17万,2115.73万,55.67,3.3582,11.65亿,7.42亿
318,688621,阳光诺和,SH,57.68,-1.50,A股,符合,CRO、科创板成分股、华为医疗、AI制药、华为盘古、宠物经济、AI医疗、肝炎概念、华为概念、仿制药一致性评价、减肥药、并购重组、创新药、cxo,医药生物-医疗服务-医疗研发外包,367.31万,医药生物-医疗服务-医疗研发外包,CAR-T细胞疗法、CRO、细胞免疫治疗、专精特新、创新医疗服务、融资融券、宠物健康、免疫治疗、华为盘古、宠物经济、沪股通、肝炎概念、仿制药一致性评价、AI制药（医疗）、中药概念、病原体防治、人工智能、减肥药、创新药、智能医疗,-0.880,58.80,57.08,1.87,0.86,209.10万,1.21亿,78.28,5.1524,64.60亿,64.60亿
319,920199,倍益康,BJ,32.93,4.27,A股,符合,华为鸿蒙、外骨骼机器人、人工智能、谷子经济、脑机接口、机器人概念、医疗器械、AI医疗,家用电器-小家电-个护小家电,366.27万,家用电器-小家电-个护小家电,医疗器械概念、融资融券、鸿蒙概念、西部大开发、贬值受益、体育产业、2025年报预减、高压氧舱、人工智能、谷子经济、智能医疗、脑机接口、机器人概念,1.350,33.50,31.67,2.83,1.05,107.31万,3511.87万,1026.70,4.2590,22.43亿,12.49亿
320,000538,云南白药,SZ,53.05,0.00,A股,符合,大消费、千金藤素、医药设备、口罩、AI智能体、AI医疗、灯塔工厂、流感、工业大麻、医疗健康、医疗美容、健康中国、医疗器械、医药、传统中药,医药生物-中药Ⅱ-中药Ⅲ,363.55万,医药生物-中药Ⅱ-中药Ⅲ,深证100R、西部大开发、证金持股、特色药、标准普尔、深成500、华为概念、HS300_、医药电商、中药概念、工业大麻、超级品牌、央视50_、富时罗素、独家药品、创新药、MSCI中国、医疗器械概念、融资融券、深股通、医美概念、高股息精选、参股券商、大盘股、大盘价值、股权激励,0.000,53.78,53.03,0.84,1.85,1482.03万,7.90亿,11.62,2.4102,946.55亿,940.54亿
321,920002,万达轴承,BJ,83.08,1.64,A股,符合,智元机器人、机器人轴承、华为轴承、人形机器人、宇树机器人、灵巧手、机器人概念,机械设备-通用设备-金属制品,359.14万,机械设备-通用设备-金属制品,专精特新、融资融券、人形机器人、机器人概念,1.340,83.86,81.52,1.39,0.99,44.21万,3675.52万,61.74,5.0816,37.80亿,26.47亿
322,688366,昊海生科,SH,39.65,-0.08,A股,符合,新材料、科创板成分股、内循环、医疗健康、医疗美容、眼科、医疗器械,医药生物-医疗器械-医疗耗材,355.70万,医药生物-医疗器械-医疗耗材,小盘股、医疗器械概念、融资融券、眼科医疗、医美概念、破发股、富时罗素、新消费、沪股通、小盘价值,-0.030,40.23,39.49,0.23,0.78,44.58万,1768.80万,30.99,1.6752,91.19亿,76.94亿
323,601519,大智慧,SH,10.24,0.10,A股,符合,网红直播、多元金融、ai应用、华为概念、数据中心、华为鸿蒙、国产软件、彩票、人工智能、国产操作系统、大数据、RDA概念股、稳定币概念,计算机-软件开发-垂直应用软件,353.57万,计算机-软件开发-垂直应用软件,中盘股、融资融券、鸿蒙概念、虚拟机器人、中盘成长、养老金、沪股通、华为概念、数据中心、国产软件、互联网金融、AI应用、人工智能、富时罗素、网红经济、长江三角、阿里概念、大数据,0.010,10.45,10.15,1.07,0.62,2127.04万,2.18亿,-172.12,15.7020,203.69亿,203.69亿
324,920719,宁新新材,BJ,10.84,-4.66,A股,符合,锂电池、固态电池、石墨电极、第三代半导体,基础化工-非金属材料Ⅱ-非金属材料Ⅲ,353.43万,基础化工-非金属材料Ⅱ-非金属材料Ⅲ,钠离子电池、专精特新、融资融券、石墨电极、燃料电池概念、破发股、第三代半导体、半导体概念、宁德时代概念、电池技术、光伏概念、氢能源、固态电池、锂电池概念、石墨烯、破增发价股,-0.530,11.10,10.48,8.87,1.05,649.52万,6970.04万,-5.65,9.1084,10.09亿,7.93亿
325,301089,拓新药业,SZ,26.92,1.43,A股,符合,麦角硫因、流感、病毒防治、AI制药,医药生物-化学制药-原料药,353.12万,医药生物-化学制药-原料药,专精特新、猴痘概念、合成生物、融资融券、流感、病毒防治、病原体防治、创业板综、肝炎概念,0.380,27.60,26.67,3.35,2.06,303.44万,8224.42万,-81.03,2.3097,34.07亿,24.35亿
326,000507,珠海港,SZ,5.19,-0.38,A股,符合,粤港澳大湾区、广东自贸、深海经济、海工装备、北交所概念、新能源车、区域经济、光伏、粤港自贸、东盟自贸区概念、一带一路、风电、珠江经济带、油气设服、天然气、港口航运、仓储物流,公用事业-电力-风力发电,342.11万,公用事业-电力-风力发电,粤港澳大湾区、北交所概念、深股通、绿色电力、航运概念、新能源、粤港自贸、油气资源、一带一路、央国企改革、广东自贸区、横琴新区、油气设服、统一大市场、天然气、风能、破增发价股、光伏建筑一体化,-0.020,5.21,5.16,1.29,0.97,1160.90万,6012.92万,17.50,0.7985,47.73亿,46.83亿
327,600582,天地科技,SH,5.69,-0.87,A股,符合,深海经济、分拆预期、新能源车、人工智能、F5G概念、机器人概念,机械设备-专用设备-能源及重型设备,342.07万,机械设备-专用设备-能源及重型设备,中盘价值、中盘股、融资融券、煤炭概念、高股息精选、上证380、中证500、F5G概念、沪股通、标准普尔、节能环保、价值股、新能源、华为概念、通信技术、煤化工概念、央国企改革、中俄贸易概念、中特估、人工智能、富时罗素、机器人概念,-0.050,5.71,5.61,1.12,1.69,4622.85万,2.62亿,13.60,0.9040,235.49亿,235.49亿
328,920489,佳先股份,BJ,14.61,1.25,A股,符合,半导体材料、华为概念、光刻胶,基础化工-化学原料-其他化学原料,340.52万,基础化工-化学原料-其他化学原料,专精特新、融资融券、央国企改革、光刻机(胶)、降解塑料、安徽三资改革,0.180,15.07,14.45,2.33,0.67,202.13万,2962.62万,-3858.70,4.1557,19.94亿,12.69亿
329,600192,长城电工,SH,8.26,0.36,A股,符合,军工、火箭发射、燃料电池、军工装备、高压快充、spacex、新能源车、光伏、供给侧改革、核能核电、可控核聚变、太阳能、风电、充电,电力设备-电网设备-输变电设备,335.05万,电力设备-电网设备-输变电设备,军工、融资融券、西部大开发、充电桩、新能源车、燃料电池概念、商业航天、新能源、光伏概念、核能核电、央国企改革、智能电网、风能,0.030,8.28,8.15,1.23,1.15,542.08万,4460.88万,-16.08,4.8036,36.49亿,36.49亿
330,600609,金杯汽车,SH,4.02,0.50,A股,符合,关税、东北振兴、智能驾驶、汽车零部件、区域经济,汽车-汽车零部件-车身附件及饰件,327.54万,汽车-汽车零部件-车身附件及饰件,融资融券、小米汽车、东北振兴、央国企改革、新能源车、无人驾驶、破发股、沪股通、智能物流、长安汽车概念,0.020,4.09,3.98,1.55,1.37,2024.97万,8190.97万,25.29,3.0953,52.44亿,52.44亿
331,300884,狄耐克,SZ,12.97,0.23,A股,符合,沐曦概念、安防、人脑工程、ai应用、智慧城市、华为概念、华为鸿蒙、边缘计算、智能家居、人工智能、脑机接口、机器人概念、通信安全,计算机-计算机设备-安防设备,324.78万,计算机-计算机设备-安防设备,专精特新、多模态AI、鸿蒙概念、华为概念、小米概念、信创、智能家居、边缘计算、DeepSeek概念、PM2.5、人工智能、阿里概念、脑机接口、人脸识别、机器人概念、安防概念、福建自贸区、融资融券、人脑工程、2025年报扭亏、无人配送、智慧城市、养老概念、海峡两岸、创业板综、智能医疗、智能物流,0.030,13.06,12.89,1.89,0.63,360.82万,4673.80万,-421.83,2.5710,32.93亿,24.83亿
332,300423,昇辉科技,SZ,7.83,-0.89,A股,符合,智慧政务、燃料电池、通感一体化、智慧城市、华为概念、氢能源、电力物联网、新材料、智慧灯杆、智能家居、绿色甲醇、冷链物流、储能,电力设备-电网设备-输变电设备,322.65万,电力设备-电网设备-输变电设备,智慧政务、安防概念、专精特新、虚拟电厂、燃料电池概念、水利建设、商业航天、智慧城市、节能环保、光热发电、数据中心、氢能源、电池技术、光伏概念、储能概念、智慧灯杆、可控核聚变、锂电池概念、智能家居、智能电网、创业板综、风能、冷链物流、电网概念,-0.070,7.93,7.77,2.46,0.67,819.84万,6413.74万,-41.19,3.3843,38.96亿,26.09亿
333,603418,友升股份,SH,51.65,1.04,A股,符合,新材料、汽车零部件项目定点,汽车-汽车零部件-车身附件及饰件,321.97万,汽车-汽车零部件-车身附件及饰件,融资融券、华为汽车、新能源车、注册制次新股、次新股、宁德时代概念、小米概念、小盘股、汽车一体化压铸、小米汽车、比亚迪概念、小盘成长、特斯拉概念,0.530,52.20,50.91,3.25,1.24,134.54万,6958.73万,24.16,2.1546,99.72亿,21.36亿
334,600279,重庆港,SH,4.88,-0.41,A股,符合,成渝特区、西北经济区、一带一路、港口航运、仓储物流,交通运输-航运港口-港口,317.33万,交通运输-航运港口-港口,民爆概念、成渝特区、西部大开发、一带一路、央国企改革、微利股、中欧经济一体化、统一大市场、2025年报预减、沪股通、智能物流、航运概念,-0.020,4.91,4.85,0.54,0.94,640.69万,3124.25万,1557.26,0.8592,57.92亿,57.92亿
335,301632,广东建科,SZ,20.69,1.07,A股,符合,机器人概念,社会服务-专业服务-检测服务,313.08万,社会服务-专业服务-检测服务,粤港澳大湾区、车联网(车路云)、5G概念、水利建设、垃圾分类、次新股、AI智能体、央国企改革、DeepSeek概念、人工智能、建筑节能、物联网、机器人概念、融资融券、低空经济、深股通、装配建筑、房屋检测、AIGC概念、注册制次新股、智慧城市、碳交易、小盘股、光伏概念、创业板综、小盘成长、碳中和、智能物流、光伏建筑一体化,0.220,21.13,20.40,3.16,1.31,231.74万,4807.12万,619.87,3.1253,86.60亿,15.16亿
336,920223,荣亿精密,BJ,17.00,-1.16,A股,符合,液冷概念、新能源车、储能、液冷服务器,机械设备-通用设备-金属制品,310.56万,机械设备-通用设备-金属制品,专精特新、航空发动机、融资融券、液冷概念、新能源车、台资控股、PCB、消费电子概念、UQD连接器、储能概念、一带一路、比亚迪概念、海峡两岸、富士康概念、汽车热管理,-0.200,17.37,17.00,2.02,0.73,164.79万,2824.58万,-164.91,11.2057,26.74亿,13.87亿
337,000011,深物业A,SZ,8.07,0.00,A股,符合,物业管理、深圳国企改革、粤港澳大湾区、广东自贸、供给侧改革、租售同权、区域经济、房地产开发、深圳特区、房地产供改、粤港自贸,房地产-房地产开发-住宅开发,309.84万,房地产-房地产开发-住宅开发,中越经济一体化、AB股、粤港澳大湾区、2025年报扭亏、深股通、深圳特区、粤港自贸、深圳国企改革、一带一路、央国企改革、租售同权、富时罗素、化债(AMC)概念、新型城镇化,0.000,8.15,7.92,1.68,1.44,882.30万,7104.37万,-44.15,1.4288,48.10亿,42.49亿
338,920008,成电光信,BJ,25.79,2.54,A股,符合,军工、电路、军工装备、卫星互联网,国防军工-军工电子Ⅱ-军工电子Ⅲ,307.96万,国防军工-军工电子Ⅱ-军工电子Ⅲ,军工、军工信息化、专精特新、融资融券、西部大开发、虚拟现实、2025年报预减,0.640,26.01,25.13,2.91,1.08,98.97万,2536.85万,-9933.94,5.0496,16.44亿,8.77亿
339,600820,隧道股份,SH,5.94,-1.49,A股,符合,国产芯片、雄安新区、低空经济、经济工作会议、破净高股息、海南自贸、盾构机概念、沿海排头兵、EDA概念、工程建设、反内卷概念、氢能源、建筑业、PPP、数据确权、一带一路、七部门、人工智能、亚冬会、高铁、央企国企改革、深地概念、雅下水电、墨脱水电站,建筑装饰-基础建设-基建市政工程,305.21万,建筑装饰-基础建设-基建市政工程,国产芯片、专精特新、PPP模式、数字经济、水利建设、长期破净、EDA概念、标准普尔、工程建设、低空基建、中马经济一体化、央国企改革、人工智能、富时罗素、天然气、机器人概念、新型城镇化、数据要素、雄安新区、低空经济、融资融券、高股息精选、上证380、中证500、养老金、沪股通、智慧城市、价值股、小盘价值、小盘股、氢能源、铁路基建、一带一路、高端装备、长江三角、风能、地下管网、沪企改革,-0.090,6.03,5.93,0.70,1.12,2185.62万,1.30亿,15.71,0.5811,186.76亿,186.76亿
340,002137,实益达,SZ,8.26,-0.12,A股,符合,网红直播、广东自贸、区块链、字节概念、5G概念、数字经济、宇树机器人、区域经济、深圳特区、华为概念、智能穿戴、人形机器人、半导体设备、独角兽、人工智能、物联网、无线耳机、植物照明,电子-光学光电子-LED,305.17万,电子-光学光电子-LED,国产芯片、粤港澳大湾区、LED概念、区块链、5G概念、数字经济、贬值受益、新能源车、参股新三板、深圳特区、华为概念、通信技术、智能穿戴、消费电子概念、智能家居、独角兽、物联网、网红经济、2025年报扭亏、深股通、半导体概念、先进封装、光伏概念、抖音概念(字节概念)、先进封装设备、无线耳机、汽车电子、植物照明,-0.010,8.33,8.22,1.97,0.81,781.07万,6459.38万,89.14,3.1030,47.70亿,32.75亿
341,920204,沪江材料,BJ,15.75,-0.82,A股,符合,-,轻工制造-包装印刷-塑料包装,303.20万,轻工制造-包装印刷-塑料包装,光伏概念、专精特新、融资融券、锂电池概念、包装、核污染防治、PET铜箔,-0.130,16.25,15.52,2.84,1.33,142.11万,2252.63万,41.86,2.9631,14.85亿,7.87亿
342,920076,国亮新材,BJ,21.30,1.48,A股,符合,-,建筑材料-装修建材-耐火材料,302.30万,建筑材料-装修建材-耐火材料,钠离子电池、专精特新、融资融券、锂电池概念、次新股,0.310,21.60,20.80,6.46,1.49,127.61万,2709.94万,19.55,1.7851,17.81亿,4.21亿
343,600067,冠城新材,SH,3.64,-9.68,A股,符合,锂电池、锂动力电池、新材料、新能源车、储能,电力设备-电网设备-线缆部件及其他,298.80万,电力设备-电网设备-线缆部件及其他,福建自贸区、融资融券、2025年报扭亏、昨日高振幅、新能源车、无人机、破发股、两轮车、长安汽车概念、电池技术、创投、氢能源、储能概念、人形机器人、锂电池概念、比亚迪概念、海峡两岸、参股银行、机器人概念,-0.390,3.90,3.63,5.46,2.99,7600.36万,2.80亿,-61.52,0.9058,50.66亿,50.66亿
344,603833,欧派家居,SH,47.00,-3.69,A股,符合,广东自贸、关税、大消费、内循环、人工智能、区域经济、家具、育儿概念,轻工制造-家居用品-定制家居,298.64万,轻工制造-家居用品-定制家居,中盘价值、中盘股、融资融券、C2M概念、转债标的、高股息精选、上证380、中证500、沪股通、标准普尔、价值股、智能家居、富时罗素,-1.800,48.48,45.99,0.82,1.48,499.76万,2.34亿,46.24,1.5476,286.30亿,286.30亿
345,000936,华西股份,SZ,7.18,-2.05,A股,符合,创投、国产芯片、算力概念、CPO概念、人工智能、科创板概念、新质生产力、知识产权、宁德时代概念、化纤行业,基础化工-化学纤维-涤纶,293.33万,基础化工-化学纤维-涤纶,创投、融资融券、央国企改革、深股通、人工智能、富时罗素、知识产权、标准普尔、长江三角、参股券商、参股银行,-0.150,7.31,7.14,4.24,0.73,3754.50万,2.70亿,248.70,1.2461,63.62亿,63.61亿
346,300094,国联水产,SZ,3.17,4.97,A股,符合,网红直播、广东自贸、深海经济、食品饮料、大消费、RCEP概念、社区团购、区域经济、预制菜概念、小红书概念、电商概念、关税、电子商务概念、新零售、无人零售、水产,农林牧渔-渔业-水产养殖,292.88万,农林牧渔-渔业-水产养殖,融资融券、乡村振兴、食品安全、社区团购、破发股、预制菜概念、小红书概念、电商概念、创业板综、新零售、海洋经济、股权激励、网红经济、冷链物流、破增发价股,0.150,3.24,3.11,7.03,2.68,7774.88万,2.48亿,206.78,37.6412,35.76亿,35.04亿
347,002095,生 意 宝,SZ,16.17,0.87,A股,符合,电商概念、跨境电商、试验区落地、区块链、电子商务概念、移动支付、DeepSeek概念、AI智能体、生意社、RDA概念股、数据要素,传媒-数字媒体-门户网站,289.71万,传媒-数字媒体-门户网站,区块链、融资融券、移动支付、深股通、标准普尔、AI智能体、互联网服务、电商概念、跨境电商、互联网金融、虚拟数字人、AI应用、DeepSeek概念、人工智能、统一大市场、长江三角、数据要素,0.140,16.85,16.00,1.83,1.27,461.86万,7557.90万,892.05,4.6630,40.86亿,40.70亿
348,600197,伊力特,SH,12.26,0.00,A股,符合,大消费、酿酒行业、新疆振兴、新疆自贸、区域经济、白酒,食品饮料-白酒Ⅱ-白酒Ⅲ,286.84万,食品饮料-白酒Ⅱ-白酒Ⅲ,味蕾经济、融资融券、三线酒企、西部大开发、参股期货、新疆振兴、旅游概念、沪股通、标准普尔、酿酒概念、央国企改革、富时罗素、白酒,0.000,12.34,12.15,0.78,0.71,369.47万,4529.52万,13.83,1.4571,58.01亿,58.01亿
349,920300,辰光医疗,BJ,11.35,0.18,A股,符合,超导概念、可控核聚变、医疗器械,医药生物-医疗器械-医疗设备,284.46万,医药生物-医疗器械-医疗设备,光伏概念、超导概念、专精特新、医疗器械概念、融资融券、可控核聚变、宠物经济、智能医疗、量子科技,0.020,11.58,11.23,2.21,0.95,146.73万,1673.74万,-33.48,6.0759,9.74亿,7.55亿
350,920505,九菱科技,BJ,39.00,-1.22,A股,符合,稀土永磁、机器人概念,机械设备-通用设备-金属制品,281.34万,机械设备-通用设备-金属制品,稀土永磁、专精特新、融资融券、磁材加工、风能,-0.480,40.30,38.80,3.35,1.17,120.58万,4756.63万,156.10,7.4254,25.27亿,14.04亿
351,000860,顺鑫农业,SZ,12.70,-0.39,A股,符合,大消费、酿酒行业、京津冀自贸、区域经济、猪肉概念、白酒,食品饮料-白酒Ⅱ-白酒Ⅲ,280.75万,食品饮料-白酒Ⅱ-白酒Ⅲ,二线酒企、融资融券、深股通、标准普尔、小盘价值、小盘股、京津冀、酿酒概念、屠宰加工、央国企改革、富时罗素、猪肉概念、白酒,-0.050,12.82,12.67,0.93,0.94,687.91万,8753.83万,20.35,1.3720,94.20亿,94.20亿
352,002197,证通电子,SZ,8.05,0.75,A股,符合,国产芯片、粤港澳大湾区、阿里云、区块链、安防、职业教育、东数西算、垃圾分类、深圳特区、华为概念、腾讯概念、电脑外设、信创、彩票、华为昇腾、DeepSeek概念、人工智能、充电、机器人概念、稳定币概念、数据要素、云计算、数据安全、广东自贸、移动支付、数字水印、数字货币、算力概念、区域经济、LED、智慧城市、微信小店、数据中心、华为鸿蒙、国产软件、NFT概念、云电脑、阿里巴巴概念,计算机-计算机设备-其他计算机设备,280.73万,计算机-计算机设备-其他计算机设备,国产芯片、钠离子电池、粤港澳大湾区、区块链、东数西算、职业教育、鸿蒙概念、乡村振兴、数字经济、垃圾分类、深圳特区、华为概念、粤港自贸、腾讯概念、互联网金融、信创、算力租赁、百度概念、边缘计算、AI应用、DeepSeek概念、人工智能、阿里概念、机器人概念、云计算、数据要素、数据安全、智慧政务、彩票概念、数字水印、移动支付、数字货币、充电桩、深股通、算力概念、ChatGPT概念、智慧城市、网络安全、数据中心、国产软件、智慧灯杆、NFT概念、抖音概念(字节概念)、智能医疗,0.060,8.07,7.92,2.51,0.67,1339.49万,1.07亿,691.38,2.8073,49.46亿,42.99亿
353,920191,瑞尔竞达,BJ,12.91,1.65,A股,符合,-,建筑材料-装修建材-耐火材料,278.02万,建筑材料-装修建材-耐火材料,专精特新、新材料、融资融券、中俄贸易概念、次新股,0.210,13.22,12.65,19.81,1.20,790.87万,1.03亿,26.90,2.2528,22.90亿,5.15亿
354,920833,美心翼申,BJ,15.11,-0.40,A股,符合,新能源车,机械设备-通用设备-其他通用设备,274.48万,机械设备-通用设备-其他通用设备,专精特新、融资融券、西部大开发、新能源车、两轮车,-0.060,15.38,15.05,1.21,0.30,75.37万,1145.87万,91.02,2.0210,12.44亿,9.44亿
355,603106,恒银科技,SH,8.90,2.42,A股,符合,数据安全、沐曦概念、雄安新区、安防、数字经济、神经网络、国产软件、信创、一带一路、虚拟数字人、AI应用、人工智能、国产操作系统、蚂蚁概念、灵光、atm、阿里巴巴概念、稳定币概念,计算机-计算机设备-其他计算机设备,267.87万,计算机-计算机设备-其他计算机设备,数据安全、智慧政务、雄安新区、区块链、鸿蒙概念、数字经济、AIGC概念、沪股通、智慧城市、国产软件、信创、互联网金融、天津自贸区、京津冀一体化、一带一路、虚拟数字人、AI应用、语音技术、人工智能、国产操作系统、智能医疗、人脸识别、华为鲲鹏、云计算,0.210,9.10,8.67,1.52,1.27,791.35万,7035.65万,406.92,3.4985,46.33亿,46.33亿
356,920010,凯添燃气,BJ,11.83,0.68,A股,符合,算力租赁、算力概念、储能、数据中心、燃气,公用事业-燃气Ⅱ-燃气Ⅲ,264.08万,公用事业-燃气Ⅱ-燃气Ⅲ,融资融券、东数西算、西部大开发、液冷概念、算力概念、数据中心、氢能源、储能概念、油气资源、换电概念、算力租赁、锂电池概念、天然气,0.080,11.95,11.70,4.61,0.75,799.54万,9442.01万,73.70,3.9848,27.74亿,20.52亿
357,920414,欧普泰,BJ,11.37,1.79,A股,符合,人工智能、储能,电力设备-光伏设备-光伏加工设备,261.08万,电力设备-光伏设备-光伏加工设备,光伏概念、专精特新、数字孪生、储能概念、融资融券、机器视觉、HJT电池、人工智能、无人机、钙钛矿电池、机器人概念、云计算,0.200,11.49,11.05,3.45,0.76,193.34万,2192.90万,-25.29,3.3789,9.07亿,6.38亿
358,603848,好太太,SH,16.10,1.13,A股,符合,电商概念、广东自贸、电子商务概念、智能家居、人工智能、区域经济、AI智能体、机器人概念,轻工制造-家居用品-成品家居,260.19万,轻工制造-家居用品-成品家居,电商概念、智能家居、沪股通、标准普尔、阿里概念,0.180,16.15,15.78,0.61,1.21,247.20万,3960.19万,39.86,2.4871,64.79亿,64.79亿
